instrument	category	source_table	collection
ESW Basics - Sub Sine 03 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Basics/ESW Basics - Sub Sine 03.wav	Echo Sound Works Core (free pack)
ESW Basics - Sylenth VA WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Basics - Sylenth VA.wav	Echo Sound Works Core (free pack)
ESW Chill - Axis WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Chill/ESW Chill - Axis.wav	Echo Sound Works Core (free pack)
ESW Chill - Cloudy WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Chill/ESW Chill - Cloudy.wav	Echo Sound Works Core (free pack)
ESW Chill - Meshy WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Chill/ESW Chill - Meshy.wav	Echo Sound Works Core (free pack)
ESW Digital - Acid Saw 02 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Acid Saw 02.wav	Echo Sound Works Core (free pack)
ESW Digital - Acid Saw WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Acid Saw.wav	Echo Sound Works Core (free pack)
ESW Digital - Chill 808 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Chill 808.wav	Echo Sound Works Core (free pack)
ESW Digital - Chill Sines WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Chill Sines.wav	Echo Sound Works Core (free pack)
ESW Digital - Deep House WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Deep House.wav	Echo Sound Works Core (free pack)
ESW Digital - Evo WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Evo.wav	Echo Sound Works Core (free pack)
ESW Digital - Flanger Talk WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Flanger Talk.wav	Echo Sound Works Core (free pack)
ESW Digital - Flanges Saw WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Flanges Saw.wav	Echo Sound Works Core (free pack)
ESW Digital - Formantish WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Formantish.wav	Echo Sound Works Core (free pack)
ESW Digital - Loli Pops WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Loli Pops.wav	Echo Sound Works Core (free pack)
ESW Digital - Metalish WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Metalish.wav	Echo Sound Works Core (free pack)
ESW Digital - Pulse Acid WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Pulse Acid.wav	Echo Sound Works Core (free pack)
ESW Digital - Saw Harmonics WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Saw Harmonics.wav	Echo Sound Works Core (free pack)
ESW Digital - Square Cutoff WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Square Cutoff.wav	Echo Sound Works Core (free pack)
ESW Digital - Square Harmonics WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Square Harmonics.wav	Echo Sound Works Core (free pack)
ESW Digital - Super Dirt WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Super Dirt.wav	Echo Sound Works Core (free pack)
ESW Digital - Sweep 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Sweep 01.wav	Echo Sound Works Core (free pack)
ESW Digital - Sync House WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Sync House.wav	Echo Sound Works Core (free pack)
ESW Digital - Synth Brass WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Synth Brass.wav	Echo Sound Works Core (free pack)
ESW Digital - Synth Bug WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital - Synth Bug.wav	Echo Sound Works Core (free pack)
ESW Digital Bell 03 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Digital/ESW Digital Bell 03.wav	Echo Sound Works Core (free pack)
ESW FM - Brutal WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Brutal.wav	Echo Sound Works Core (free pack)
ESW FM - Comb Filtered WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Comb Filtered.wav	Echo Sound Works Core (free pack)
ESW FM - Harmonics 02 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Harmonics 02.wav	Echo Sound Works Core (free pack)
ESW FM - Reverrsed WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Reverrsed.wav	Echo Sound Works Core (free pack)
ESW FM - Saw FM8 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/FM/ESW FM - Saw FM8.wav	Echo Sound Works Core (free pack)
ESW Growl - Banimal WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - Banimal.wav	Echo Sound Works Core (free pack)
ESW Growl - Flubs WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - Flubs.wav	Echo Sound Works Core (free pack)
ESW Growl - Sputter WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Growl/ESW Growl - Sputter.wav	Echo Sound Works Core (free pack)
ESW Metalic - Zipper WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metalic - Zipper.wav	Echo Sound Works Core (free pack)
ESW Metallic - Bell 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Bell 01.wav	Echo Sound Works Core (free pack)
ESW Metallic - Bell 02 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Bell 02.wav	Echo Sound Works Core (free pack)
ESW Metallic - Bell 03 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Bell 03.wav	Echo Sound Works Core (free pack)
ESW Metallic - Bell 04 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Bell 04.wav	Echo Sound Works Core (free pack)
ESW Metallic - Bell 05 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Bell 05.wav	Echo Sound Works Core (free pack)
ESW Metallic - Ring Tone WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Metallic/ESW Metallic - Ring Tone.wav	Echo Sound Works Core (free pack)
ESW One Shot - BS Basix WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Basix.wav	Echo Sound Works Core (free pack)
ESW One Shot - BS Deep House WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Deep House.wav	Echo Sound Works Core (free pack)
ESW One Shot - BS Elephant WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Elephant.wav	Echo Sound Works Core (free pack)
ESW One Shot - BS Party WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Party.wav	Echo Sound Works Core (free pack)
ESW One Shot - BS Silver WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Silver.wav	Echo Sound Works Core (free pack)
ESW One Shot - BS Snappy WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Snappy.wav	Echo Sound Works Core (free pack)
ESW One Shot - BS Strep Throat WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - BS Strep Throat.wav	Echo Sound Works Core (free pack)
ESW One Shot - LD Brass Poly WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Synth One Shots/ESW One Shot - LD Brass Poly.wav	Echo Sound Works Core (free pack)
ESW Real - Acoustic Guitar WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Acoustic Guitar.wav	Echo Sound Works Core (free pack)
ESW Real - BS Elect WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - BS Elect.wav	Echo Sound Works Core (free pack)
ESW Real - Brassy Bell WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Brassy Bell.wav	Echo Sound Works Core (free pack)
ESW Real - Cello WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Cello.wav	Echo Sound Works Core (free pack)
ESW Real - Electric Guitar WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Electric Guitar.wav	Echo Sound Works Core (free pack)
ESW Real - GT Acoustic 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - GT Acoustic 01.wav	Echo Sound Works Core (free pack)
ESW Real - Gibson Acoustic WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Gibson Acoustic.wav	Echo Sound Works Core (free pack)
ESW Real - Glass Marimba WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Glass Marimba.wav	Echo Sound Works Core (free pack)
ESW Real - Guitar Palm Pluck WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Guitar Palm Pluck.wav	Echo Sound Works Core (free pack)
ESW Real - Guitar Petit Acoustic WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Guitar Petit Acoustic.wav	Echo Sound Works Core (free pack)
ESW Real - Harp WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Harp.wav	Echo Sound Works Core (free pack)
ESW Real - Keys Digital WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Keys Digital.wav	Echo Sound Works Core (free pack)
ESW Real - Mallet Toy Bell WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Mallet Toy Bell.wav	Echo Sound Works Core (free pack)
ESW Real - Nylon Guitar WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Nylon Guitar.wav	Echo Sound Works Core (free pack)
ESW Real - Pan Flue WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Pan Flue.wav	Echo Sound Works Core (free pack)
ESW Real - Pizzo String WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Pizzo String.wav	Echo Sound Works Core (free pack)
ESW Real - Rhodes Wurli WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Rhodes Wurli.wav	Echo Sound Works Core (free pack)
ESW Real - ST Cello Solo WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - ST Cello Solo.wav	Echo Sound Works Core (free pack)
ESW Real - Vibraphone WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Vibraphone.wav	Echo Sound Works Core (free pack)
ESW Real - Violin WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - Violin.wav	Echo Sound Works Core (free pack)
ESW Real - World Mibira WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Instruments/ESW Real - World Mibira.wav	Echo Sound Works Core (free pack)
ESW Spectral - Quesis WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Spectral/ESW Spectral - Quesis.wav	Echo Sound Works Core (free pack)
ESW Spectral - Vectors WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Spectral/ESW Spectral - Vectors.wav	Echo Sound Works Core (free pack)
ESW Vocal - 80_s 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - 80's 01.wav	Echo Sound Works Core (free pack)
ESW Vocal - Ayee Ahh 02 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Ayee Ahh 02.wav	Echo Sound Works Core (free pack)
ESW Vocal - Cheap Choir 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Cheap Choir 01.wav	Echo Sound Works Core (free pack)
ESW Vocal - Digital Choir 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Digital Choir 01.wav	Echo Sound Works Core (free pack)
ESW Vocal - Digital Choir 03 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Digital Choir 03.wav	Echo Sound Works Core (free pack)
ESW Vocal - Digital Mouth WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Digital Mouth.wav	Echo Sound Works Core (free pack)
ESW Vocal - Digital Throat WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Digital Throat.wav	Echo Sound Works Core (free pack)
ESW Vocal - Fairlight 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Fairlight 01.wav	Echo Sound Works Core (free pack)
ESW Vocal - Guttural WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Guttural.wav	Echo Sound Works Core (free pack)
ESW Vocal - Summer WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Summer.wav	Echo Sound Works Core (free pack)
ESW Vocal - Throaty 01 WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Throaty 01.wav	Echo Sound Works Core (free pack)
ESW Vocal - Voxus WT.xrni	sine and soft triangle	/home/meneses/Projects/renoise/wavetable-packs/esw/Echo Sound Works Core Tables/Vocal/ESW Vocal - Voxus.wav	Echo Sound Works Core (free pack)
Electronic Kitten WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Electronic Kitten.vital	other
Evolver WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Evolver.vital	other
FAIRLI01 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FAIRLI01.vitaltable	WaveEdit Online (CC0)
FF - Yippie YA WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Growl 2 - Talking Yoi/Presets/FF - Yippie YA.vital	user/Discord presets (third-party)
FLC SNARE value as of current WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/FLC SNARE value as of current.vital	other
FM Beauty WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/FM Beauty.vital	other
FM Saw WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Freq Mod(Not PM)/FM Saw.vitaltable	Kimura Taro (CC0)
FM Solo Cello WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/FM Solo Cello.vital	other
FM Sq WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Freq Mod(Not PM)/FM Sq.vitaltable	Kimura Taro (CC0)
FMPad WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/FM/FMPad.vitaltable	Kimura Taro (CC0)
FOLDFEED WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/FOLDFEED.vitaltable	WaveEdit Online (CC0)
FX - Jumpstart my UFO WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/FX - Jumpstart my UFO.vital	other
FX - Wheel Up WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/FX - Wheel Up.vital	other
Fat Sin Sub 57 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Wavetables/Fat Sin Sub 57.vitaltable	user/Discord presets (third-party)
Fat Sin Sub 7 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Wavetables/Fat Sin Sub 7.vitaltable	user/Discord presets (third-party)
Ferine MultiOSC IcarusPD WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Ferine/Ferine MultiOSC IcarusPD.vitaltable	Kimura Taro (CC0)
FerineTRi WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Ferine/FerineTRi.vitaltable	Kimura Taro (CC0)
Folding6 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Folding/Folding6.vitaltable	Kimura Taro (CC0)
GEOMETRI WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/GEOMETRI.vitaltable	WaveEdit Online (CC0)
Garage Bass Detuned Attempt 4 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Garage Bass Detuned Attempt 4.vital	user/Discord presets (third-party)
Gotta Have It WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Gotta Have It.vital	other
Grower Wubby Reggae Digi Thing 2 Wide Fuzz 2 submono wubwubwubdown 3 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Grower Wubby Reggae Digi Thing 2 Wide Fuzz 2 submono wubwubwubdown 3.vital	user/Discord presets (third-party)
HARMONIO WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HARMONIO.vitaltable	WaveEdit Online (CC0)
HARMONIX WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HARMONIX.vitaltable	WaveEdit Online (CC0)
HIGH_FRE WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HIGH_FRE.vitaltable	WaveEdit Online (CC0)
HMMMMMMM WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HMMMMMMM.vitaltable	WaveEdit Online (CC0)
HORROR WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HORROR.vitaltable	WaveEdit Online (CC0)
HYPERBOL WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/HYPERBOL.vitaltable	WaveEdit Online (CC0)
Half Clip5 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Half Clip/Half Clip5.vitaltable	Kimura Taro (CC0)
Halftime Crispy Clean Thick WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Halftime Crispy Clean Thick.vital	user/Discord presets (third-party)
Halftime Crispy Clean WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Halftime Crispy Clean.vital	user/Discord presets (third-party)
Hammond via YouTube 2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Hammond via YouTube 2.vital	user/Discord presets (third-party)
Hammond via YouTube 5 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Hammond via YouTube 5.vital	user/Discord presets (third-party)
Hard Techno Kick With Rumble WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Hard Techno Kick With Rumble.vital	other
Hardstyle kick WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Hardstyle kick.vital	other
Here You Go WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Here You Go.vital	other
ITERATIV WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/ITERATIV.vitaltable	WaveEdit Online (CC0)
Ignore This WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Ignore This.vital	user/Discord presets (third-party)
Jungle Bass WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Jungle Bass.vital	user/Discord presets (third-party)
Junky Cymbal WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Junky Cymbal.vital	other
Just Do it WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Just Do it.vital	other
Just One OSC WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Just One OSC.vital	other
KD Shaper1 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devices shaper/KD Shaper1.vitaltable	Kimura Taro (CC0)
KD Shaper2 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devices shaper/KD Shaper2.vitaltable	Kimura Taro (CC0)
KD Shaper3 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/K-Devices shaper/KD Shaper3.vitaltable	Kimura Taro (CC0)
Key - NEO Hammondian WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Key - NEO Hammondian.vital	other
Keys - After Dark WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - After Dark.vital	other
Keys - Crusha WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Crusha.vital	other
Keys - Goodies WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Goodies.vital	other
Keys - Wannab Future Bass WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Keys - Wannab Future Bass.vital	other
Keystation WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Factory Presets/Presets/Keystation.vital	other
Kick Dub Base WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/VitalPresets/Presets/Kick Dub Base.vital	user/Discord presets (third-party)
KorgM1Organ WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/KorgM1Organ.vital	other
LD - Bassraiders _V1_ WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/LD - Bassraiders _V1_.vital	other
LD - Bassraiders _V2_ WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/LD - Bassraiders _V2_.vital	other
LSDJ_WAV WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/LSDJ_WAV.vitaltable	WaveEdit Online (CC0)
Laughing Plastic WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Laughing Plastic.vital	other
Lazer Tazer WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Lazer Tazer.vital	other
Lead - Trap Classics WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Lead - Trap Classics.vital	other
Legend WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Legend.vital	other
Long Time Coming WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Vital Harvest/Presets/Long Time Coming.vital	other
Low-mid Simplicity WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/misc/Presets/Low-mid Simplicity.vital	other
M1 AirVox WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/M1 Wavetable[Mini][2048-44.1khz-32bit]/M1 AirVox.vitaltable	Kimura Taro (CC0)
MICROBRU WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/MICROBRU.vitaltable	WaveEdit Online (CC0)
MIXED02 WT.xrni	sine and soft triangle	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/MIXED02.vitaltable	WaveEdit Online (CC0)
