instrument	category	source_table	collection
PD PWM2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PD PWM/PD PWM2.vitaltable	Kimura Taro (CC0)
PD PWM5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PD PWM/PD PWM5.vitaltable	Kimura Taro (CC0)
PD SQ5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PD Square/PD SQ5.vitaltable	Kimura Taro (CC0)
PD SQ7 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PD Square/PD SQ7.vitaltable	Kimura Taro (CC0)
PD SQ8 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PD Square/PD SQ8.vitaltable	Kimura Taro (CC0)
PD12 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Phase Distortion/PD12.vitaltable	Kimura Taro (CC0)
PD5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Phase Distortion/PD5.vitaltable	Kimura Taro (CC0)
PD6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Phase Distortion/PD6.vitaltable	Kimura Taro (CC0)
PD7 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Phase Distortion/PD7.vitaltable	Kimura Taro (CC0)
PLAITS03 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PLAITS03.vitaltable	WaveEdit Online (CC0)
PMSimple11 Icarus Bell WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PM[Simple]/PMSimple11 Icarus Bell.vitaltable	Kimura Taro (CC0)
PMSimple14 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PM[Simple]/PMSimple14.vitaltable	Kimura Taro (CC0)
PMSimple15 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PM[Simple]/PMSimple15.vitaltable	Kimura Taro (CC0)
PMSimple16 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PM[Simple]/PMSimple16.vitaltable	Kimura Taro (CC0)
PMSimple18 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PM[Simple]/PMSimple18.vitaltable	Kimura Taro (CC0)
PMSimple2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PM[Simple]/PMSimple2.vitaltable	Kimura Taro (CC0)
PMSimple5 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PM[Simple]/PMSimple5.vitaltable	Kimura Taro (CC0)
PMSimple6 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PM[Simple]/PMSimple6.vitaltable	Kimura Taro (CC0)
PMSimple7 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PM[Simple]/PMSimple7.vitaltable	Kimura Taro (CC0)
PMSimple9 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PM[Simple]/PMSimple9.vitaltable	Kimura Taro (CC0)
PPG01 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG01 4bit.vitaltable	Kimura Taro (CC0)
PPG01 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG01.vitaltable	Kimura Taro (CC0)
PPG02 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG02 4bit.vitaltable	Kimura Taro (CC0)
PPG02 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG02.vitaltable	Kimura Taro (CC0)
PPG09 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG09 4bit.vitaltable	Kimura Taro (CC0)
PPG09 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG09.vitaltable	Kimura Taro (CC0)
PPG10 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG10 4bit.vitaltable	Kimura Taro (CC0)
PPG10 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG10.vitaltable	Kimura Taro (CC0)
PPG11 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG11 4bit.vitaltable	Kimura Taro (CC0)
PPG11 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG11.vitaltable	Kimura Taro (CC0)
PPG14 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG14 4bit.vitaltable	Kimura Taro (CC0)
PPG14 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG14.vitaltable	Kimura Taro (CC0)
PPG15 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG15 4bit.vitaltable	Kimura Taro (CC0)
PPG15 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG15.vitaltable	Kimura Taro (CC0)
PPG16 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG16 4bit.vitaltable	Kimura Taro (CC0)
PPG16 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG16.vitaltable	Kimura Taro (CC0)
PPG18 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG18 4bit.vitaltable	Kimura Taro (CC0)
PPG18 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG18.vitaltable	Kimura Taro (CC0)
PPG19 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG19 4bit.vitaltable	Kimura Taro (CC0)
PPG19 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG19.vitaltable	Kimura Taro (CC0)
PPG21 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG21 4bit.vitaltable	Kimura Taro (CC0)
PPG21 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG21.vitaltable	Kimura Taro (CC0)
PPG23 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG23.vitaltable	Kimura Taro (CC0)
PPG24 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG24 4bit.vitaltable	Kimura Taro (CC0)
PPG24 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG24.vitaltable	Kimura Taro (CC0)
PPG25 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG25 4bit.vitaltable	Kimura Taro (CC0)
PPG25 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG25.vitaltable	Kimura Taro (CC0)
PPG30 4bit WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave[4bit]/PPG30 4bit.vitaltable	Kimura Taro (CC0)
PPG30 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/PPG Wave/PPG30.vitaltable	Kimura Taro (CC0)
PPG_WA01 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA01.vitaltable	WaveEdit Online (CC0)
PPG_WA02 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA02.vitaltable	WaveEdit Online (CC0)
PPG_WA09 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA09.vitaltable	WaveEdit Online (CC0)
PPG_WA10 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA10.vitaltable	WaveEdit Online (CC0)
PPG_WA11 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA11.vitaltable	WaveEdit Online (CC0)
PPG_WA14 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA14.vitaltable	WaveEdit Online (CC0)
PPG_WA18 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA18.vitaltable	WaveEdit Online (CC0)
PPG_WA19 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA19.vitaltable	WaveEdit Online (CC0)
PPG_WA21 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA21.vitaltable	WaveEdit Online (CC0)
PPG_WA24 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA24.vitaltable	WaveEdit Online (CC0)
PPG_WA30 WT.xrni	additive and organ	/home/meneses/.local/share/vital/WaveEdit Online/Wavetables/PPG_WA30.vitaltable	WaveEdit Online (CC0)
PWMSync1 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/PWMSync1.vitaltable	Kimura Taro (CC0)
PWMSync2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/OSC Sync+PWM/PWMSync2.vitaltable	Kimura Taro (CC0)
Pad - Sing With Me WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Pad - Sing With Me.vital	other
Pad - Tension WT.xrni	additive and organ	/home/meneses/.local/share/vital/Vital Harvest/Presets/Pad - Tension.vital	other
Phase2 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Phase/Phase2.vitaltable	Kimura Taro (CC0)
Phase3 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Phase/Phase3.vitaltable	Kimura Taro (CC0)
Phase7 WT.xrni	additive and organ	/home/meneses/.local/share/vital/Kimura Taro/Wavetables/Phase/Phase7.vitaltable	Kimura Taro (CC0)
